,CarName,city,Fuel_type,car_price,body_type,transmission,seller_type,owner_type,color,Year,Brand,Fuel_used,km_driven
111,2014 Volkswagen Vento 1.5 TDI Comfortline BSIV,noida,46000 km•  Diesel•   Preet Vihar,4.3,sedan,manual,dealer,first-owner,blue,['2014'],['Volkswagen'],['Diesel'],['46000']
112,2012 Toyota Etios G,noida,44000 km•  Petrol•   Preet Vihar,3.35,sedan,manual,dealer,first-owner,blue,['2012'],['Toyota'],['Petrol'],['44000']
113,2018 Maruti Ciaz Delta BSIV,noida,12116 km•  Petrol•   Jangpura,8,sedan,manual,dealer,first-owner,blue,['2018'],['Maruti'],['Petrol'],['12116']
114,2013 Hyundai Elantra CRDi S,noida,68375 km•  Diesel•   Vikas Puri,5.25,sedan,manual,dealer,first-owner,blue,['2013'],['Hyundai'],['Diesel'],['68375']
115,2015 Hyundai Xcent 1.1 CRDi SX Option,noida,52000 km•  Diesel,4,sedan,manual,individual,first-owner,blue,['2015'],['Hyundai'],['Diesel'],['52000']
116,2018 Maruti Ciaz 1.4 Sigma,noida,15000 km•  Petrol,7,sedan,manual,individual,first-owner,blue,['2018'],['Maruti'],['Petrol'],['15000']
117,2016 Volkswagen Ameo 1.2 MPI Highline 16 Alloy,noida,30000 km•  Petrol,4.38,sedan,manual,individual,first-owner,blue,['2016'],['Volkswagen'],['Petrol'],['30000']
118,2012 Maruti Swift Dzire VXi,noida,50000 km•  Petrol,3,sedan,manual,individual,first-owner,blue,['2012'],['Maruti'],['Petrol'],['50000']
119,2018 Maruti Ciaz S 1.4,noida,14000 km•  Petrol,8.2,sedan,manual,individual,first-owner,blue,['2018'],['Maruti'],['Petrol'],['14000']
120,2019 Maruti Ciaz Alpha 1.5,noida,30000 km•  Diesel,11,sedan,manual,individual,first-owner,blue,['2019'],['Maruti'],['Diesel'],['30000']
121,2012 Toyota Etios G,noida,80000 km•  Petrol•   Karol Bagh,2.5,sedan,manual,dealer,second-owner,blue,['2012'],['Toyota'],['Petrol'],['80000']
122,2009 Toyota Corolla Altis 1.8 G CNG,noida,60000 km•  CNG,2.6,sedan,manual,individual,second-owner,blue,['2009'],['Toyota'],['CNG'],['60000']
123,2015 Volkswagen Vento 1.6 Highline,noida,53000 km•  Petrol,4.9,sedan,manual,individual,second-owner,blue,['2015'],['Volkswagen'],['Petrol'],['53000']
124,2011 Toyota Corolla Altis Diesel D4DG,noida,120000 km•  Diesel,3.2,sedan,manual,individual,third-owner-or-more,blue,['2011'],['Toyota'],['Diesel'],['120000']
125,2016 Toyota Corolla Altis G,noida,6400 km•  Petrol•   Vikaspuri,9.5,sedan,manual,dealer,first-owner,black,['2016'],['Toyota'],['Petrol'],['6400']
126,2010 Tata Manza Aura Plus Safire BS IV,noida,38000 km•  Petrol•   Karol Bagh,1.85,sedan,manual,dealer,first-owner,black,['2010'],['Tata'],['Petrol'],['38000']
127,2010 Mercedes-Benz New C-Class 200 CDI Elegance,noida,73126 km•  Diesel•   Ashok Nagar,6.75,sedan,manual,dealer,first-owner,black,['2010'],['Mercedes-Benz'],['Diesel'],['73126']
128,2013 Nissan Sunny XV D,noida,60000 km•  Diesel•   Lajpat Nagar,3.5,sedan,manual,dealer,first-owner,black,['2013'],['Nissan'],['Diesel'],['60000']
129,2010 Hyundai Verna Transform VTVT,noida,3319 km•  Petrol•   Krishna Nagar,3.2,sedan,manual,dealer,first-owner,black,['2010'],['Hyundai'],['Petrol'],['3319']
130,2011 Mercedes-Benz E-Class 250 D W 124,noida,80000 km•  Diesel•   Janakpuri,9,sedan,manual,dealer,first-owner,black,['2011'],['Mercedes-Benz'],['Diesel'],['80000']
