,CarName,city,Fuel_type,car_price,body_type,transmission,seller_type,owner_type,color,Year,Brand,Fuel_used,km_driven
105,2017 Honda City i-DTEC ZX,delhi-ncr,55598 km•  Diesel•   Okhla Industrial Area Phase-i,10.51,sedan,manual,dealer,first-owner,silver,['2017'],['Honda'],['Diesel'],['55598']
106,2010 Volkswagen Vento Petrol Highline,delhi-ncr,88254 km•  Petrol•   Faridabad,3.1,sedan,manual,dealer,first-owner,silver,['2010'],['Volkswagen'],['Petrol'],['88254']
107,2018 Maruti Swift Dzire LXI 1.2 BS IV,delhi-ncr,12000 km•  Petrol,5.5,sedan,manual,individual,first-owner,silver,['2018'],['Maruti'],['Petrol'],['12000']
108,2017 Honda City i VTEC V,delhi-ncr,10000 km•  Petrol,8.55,sedan,manual,individual,first-owner,silver,['2017'],['Honda'],['Petrol'],['10000']
109,2017 Maruti Swift Dzire VXI 1.2,delhi-ncr,20000 km•  Petrol,6,sedan,manual,individual,first-owner,silver,['2017'],['Maruti'],['Petrol'],['20000']
110,2011 Maruti Swift Dzire VDi,delhi-ncr,75000 km•  Diesel,2.5,sedan,manual,individual,first-owner,silver,['2011'],['Maruti'],['Diesel'],['75000']
111,2016 Honda City i VTEC VX Option,delhi-ncr,50000 km•  Petrol,8,sedan,manual,individual,first-owner,silver,['2016'],['Honda'],['Petrol'],['50000']
112,2011 Toyota Etios G,delhi-ncr,53000 km•  Petrol,2.34,sedan,manual,individual,first-owner,silver,['2011'],['Toyota'],['Petrol'],['53000']
113,2015 Honda City i DTEC SV,delhi-ncr,25000 km•  Diesel,6.75,sedan,manual,individual,first-owner,silver,['2015'],['Honda'],['Diesel'],['25000']
114,2017 Maruti Ciaz 1.3 Delta,delhi-ncr,37000 km•  Diesel,7.5,sedan,manual,individual,first-owner,silver,['2017'],['Maruti'],['Diesel'],['37000']
115,2016 Maruti Swift Dzire LXI Option,delhi-ncr,50000 km•  Petrol,4.5,sedan,manual,individual,first-owner,silver,['2016'],['Maruti'],['Petrol'],['50000']
116,2014 Maruti Swift Dzire VXI,delhi-ncr,56800 km•  Petrol,4.25,sedan,manual,individual,first-owner,silver,['2014'],['Maruti'],['Petrol'],['56800']
117,2012 Maruti Swift Dzire VDi,delhi-ncr,70000 km•  Diesel,3.4,sedan,manual,individual,first-owner,silver,['2012'],['Maruti'],['Diesel'],['70000']
118,2014 Toyota Corolla Altis D-4D J,delhi-ncr,160000 km•  Diesel,6,sedan,manual,individual,first-owner,silver,['2014'],['Toyota'],['Diesel'],['160000']
119,2017 Maruti Ciaz 1.4 Delta,delhi-ncr,24000 km•  Petrol,7.5,sedan,manual,individual,first-owner,silver,['2017'],['Maruti'],['Petrol'],['24000']
120,2017 Maruti Ciaz ZDi SHVS,delhi-ncr,80000 km•  Diesel,7,sedan,manual,individual,first-owner,silver,['2017'],['Maruti'],['Diesel'],['80000']
121,2016 Toyota Etios GD,delhi-ncr,125000 km•  Diesel,4.85,sedan,manual,individual,first-owner,silver,['2016'],['Toyota'],['Diesel'],['125000']
122,2014 Maruti Swift Dzire VXI,delhi-ncr,88000 km•  Petrol,4.25,sedan,manual,individual,first-owner,silver,['2014'],['Maruti'],['Petrol'],['88000']
123,2011 Maruti Swift Dzire Vdi BSIV,delhi-ncr,110000 km•  Diesel,2.61,sedan,manual,individual,first-owner,silver,['2011'],['Maruti'],['Diesel'],['110000']
124,2017 Honda City i VTEC VX Option,delhi-ncr,51400 km•  Petrol,8,sedan,manual,individual,first-owner,silver,['2017'],['Honda'],['Petrol'],['51400']
125,2012 Hyundai Verna 1.6 SX CRDi (O),delhi-ncr,80000 km•  Diesel,4.5,sedan,manual,individual,first-owner,silver,['2012'],['Hyundai'],['Diesel'],['80000']
126,2014 Hyundai Verna 1.6 SX,delhi-ncr,60000 km•  Diesel•   Naraina,5.25,sedan,manual,dealer,second-owner,silver,['2014'],['Hyundai'],['Diesel'],['60000']
127,2013 Volkswagen Vento Diesel Highline,delhi-ncr,87000 km•  Diesel•   Pandav Nagar,4.25,sedan,manual,dealer,second-owner,silver,['2013'],['Volkswagen'],['Diesel'],['87000']
